CollegeName,CollegeCode,CourseCode,Category,CutoffRank,Location,Year,Round
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,EC Electronics,3BR,10785,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,EC Electronics,GM,6878,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,EC Electronics,GMK,10960,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,EC Electronics,GMR,10726,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,EC Electronics,SCG,33384,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,EC Electronics,SCK,46591,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,EC Electronics,SCR,40719,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,EC Electronics,STG,29072,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,EC Electronics,STR,30200,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,EE Electrical,1G,27073,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,EE Electrical,1R,54121,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,EE Electrical,2AG,27069,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,EE Electrical,2AK,32204,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,EE Electrical,2AR,43255,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,EE Electrical,2BG,38348,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,EE Electrical,2BK,50948,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,EE Electrical,2BR,89610,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,EE Electrical,3AG,21517,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,EE Electrical,3BG,22779,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,EE Electrical,3BR,31736,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,EE Electrical,GM,17701,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,EE Electrical,GMK,28703,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,EE Electrical,GMR,31268,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,EE Electrical,SCG,60859,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,EE Electrical,SCK,73849,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,EE Electrical,SCR,74966,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,EE Electrical,STG,64153,Bangalore,2023,Round 1
